job_id,title,company_name,field,location,duration,skills_required,stipend,stipend_num,description,candidate_expectations
JOB_028,Interior Design Intern,SpaceCraft Interiors,Design,"Coimbatore, Tamil Nadu",5 months,"['AutoCAD', 'SketchUp', '3ds Max', 'Material Knowledge']","₹12,000/month",12000,"Assist in space planning, create 2D/3D layouts, select materials and finishes, and prepare client presentations for residential and commercial projects. You will visit sites, source samples, and learn budgeting and vendor coordination.","We look for creative individuals with spatial awareness and passion for aesthetics. Client communication, trend awareness, and precision in drawings are essential."
JOB_029,Performance Marketing Intern,ClickProfit Media,Marketing,"Vadodara, Gujarat",3 months,"['Google Ads', 'Meta Ads', 'Analytics', 'Budget Management']","₹10,000 + Performance Bonus",10000,"Launch and optimize paid campaigns, monitor KPIs, scale winning ads, and prepare performance reports with clear ROI insights. You will work on real client budgets and learn advanced bidding strategies.",We seek number-loving marketers who test hypotheses and optimize relentlessly. Comfort with spending budgets and analytical mindset are crucial.
JOB_030,Frontend Development Intern,WebWave Technologies,Tech,"Bhubaneswar, Odisha",6 months,"['HTML/CSS', 'JavaScript', 'React', 'Tailwind CSS']","₹18,000/month",18000,"Build responsive user interfaces, implement designs from Figma, write reusable components, and ensure cross-browser compatibility for enterprise dashboards and consumer apps.","We want pixel-perfect coders who care about performance and user experience. Attention to detail, curiosity about modern frameworks, and collaboration with designers are must-haves."
JOB_031,Public Relations Intern,MediaBridge PR,Marketing/PR,"Kanpur, Uttar Pradesh",3 months,"['Press Release Writing', 'Media Monitoring', 'Pitching', 'Crisis Communication']","₹9,000/month",9000,"Draft press releases, build media lists, track coverage, coordinate interviews, and support PR campaigns for startups and corporates.","We seek articulate, relationship-oriented individuals with excellent writing and networking skills. Ability to work under pressure and maintain composure is essential."
JOB_032,Android Development Intern,AppForge Studio,Tech,"Madurai, Tamil Nadu",6 months,"['Kotlin', 'Android Studio', 'Firebase', 'Material Design']","₹20,000/month",20000,"Develop features for live apps, fix bugs, implement UI/UX designs, integrate APIs, and publish updates on Google Play Store.","We look for mobile enthusiasts with strong Java/Kotlin fundamentals. Problem-solving ability, clean code habits, and excitement for app store launches are appreciated."
JOB_033,Investment Banking Intern,CapitalPeak Advisors,Finance,"Mumbai, Maharashtra",3 months,"['Pitch Book', 'Valuation', 'Excel', 'Bloomberg Basics']","₹25,000/month",25000,"Support M&A transactions, create pitch decks, perform company and industry research, build financial models, and assist in deal execution.","We seek highly driven, Excel-proficient individuals with exceptional work ethic and interest in deals. Ability to handle long hours and deliver flawless work is critical."
JOB_034,Event Management Intern,Eventoria Solutions,Operations/Marketing,"Jodhpur, Rajasthan",4 months,"['Coordination', 'Vendor Management', 'Budgeting', 'Creativity']","₹8,000/month",8000,"Plan and execute corporate events, weddings, and conferences. Handle vendor negotiations, timeline management, on-site coordination, and post-event reporting.","We need energetic, calm-under-pressure individuals who love logistics and people management. Multitasking, negotiation skills, and a cheerful attitude are essential."
JOB_035,Blockchain Intern,CryptoNest Labs,Tech,"Bengaluru, Karnataka",6 months,"['Solidity', 'Web3.js', 'Ethereum', 'Smart Contracts']","₹30,000/month",30000,"Write and audit smart contracts, build dApps, integrate wallets, and work on DeFi and NFT projects with live deployments.","We seek crypto-passionate developers with strong security awareness. Ability to learn fast, think about edge cases, and collaborate on decentralized systems is key."
JOB_036,Legal Research Intern,LexCorp Partners,Legal,New Delhi,3 months,"['Legal Research', 'Case Analysis', 'Drafting', 'Manupatra/SCC Online']","₹12,000/month",12000,"Conduct case law research, draft petitions and contracts, summarize judgments, and assist lawyers in court filings and client meetings.","We look for law students with excellent reading comprehension and analytical skills. Precision, confidentiality, and professional demeanor are non-negotiable."
JOB_037,Fashion Design Intern,VogueThread Studio,Design,"Mumbai, Maharashtra",5 months,"['Illustrator', 'Pattern Making', 'Sewing', 'Trend Forecasting']","₹10,000/month",10000,"Assist in collection development, create tech packs, source fabrics, support photoshoots, and help with fashion week preparations.",We want passionate designers with original ideas and strong sketching skills. Ability to work in a fast-fashion environment and take initiative is crucial.
JOB_038,Growth Hacking Intern,ScaleFast Ventures,Marketing,"Gurugram, Haryana",4 months,"['A/B Testing', 'Automation', 'Analytics', 'Creativity']","₹15,000/month",15000,"Run growth experiments, automate funnels, analyze user behavior, and implement viral loops for consumer apps and SaaS products.","We seek unconventional thinkers who love data and psychology. Resourcefulness, speed, and obsession with metrics are must-haves."
JOB_039,Cloud Engineering Intern,NimbusTech Solutions,Tech,"Pune, Maharashtra",6 months,"['AWS/GCP', 'Terraform', 'Kubernetes', 'Python']","₹25,000/month",25000,"Design and implement cloud infrastructure, automate deployments, manage containers, and ensure high availability and security for enterprise workloads.",We look for infrastructure enthusiasts with scripting skills and understanding of scalability. Eagerness to earn certifications and solve real outages is valued.
JOB_040,Journalism Intern,NewsWave Media,Content/Media,"Kolkata, West Bengal",3 months,"['Reporting', 'Interviewing', 'Fact-checking', 'Writing']","₹8,000/month",8000,"Cover local events, conduct interviews, write news and feature articles, and assist in digital content creation for print and online platforms.","We seek curious, fearless journalists with strong ethics and nose for news. Speed, accuracy, and ability to work odd hours are essential."
JOB_041,iOS Development Intern,SwiftPeak Apps,Tech,"Hyderabad, Telangana",6 months,"['Swift', 'Xcode', 'SwiftUI', 'Firebase']","₹22,000/month",22000,"Build native iOS applications, implement designs, integrate third-party SDKs, and publish apps on the App Store with continuous deployment.",We want Apple ecosystem lovers with clean code practices. Attention to animation details and user experience obsession are highly appreciated.
JOB_042,Sustainability Intern,GreenFuture Consultants,Operations/Sustainability,"Dehradun, Uttarakhand",4 months,"['ESG Reporting', 'Carbon Footprint', 'Research', 'Stakeholder Engagement']","₹10,000/month",10000,"Assist in ESG assessments, sustainability reporting, carbon accounting, and developing green strategies for manufacturing and service companies.",We seek environmentally conscious individuals with research skills and passion for impact. Analytical thinking and clear communication are essential.
JOB_043,Game Development Intern,PlayForge Studios,Tech/Gaming,"Mumbai, Maharashtra",6 months,"['Unity', 'C#', 'Blender', 'Game Design']","₹18,000/month",18000,"Develop gameplay mechanics, create levels, implement UI, optimize performance, and test mobile and PC games in active development.","We look for gamers who code, with creativity and problem-solving skills. Team play, passion for fun, and ability to iterate fast are crucial."
JOB_044,Pharmaceutical Research Intern,BioMed Labs,Research/Healthcare,"Ahmedabad, Gujarat",5 months,"['Lab Techniques', 'Data Analysis', 'Documentation', 'Safety Protocols']","₹15,000/month",15000,"Assist in formulation development, conduct stability studies, analyze samples using HPLC/GC, and maintain GLP documentation.","We seek science graduates with lab discipline and precision. Safety consciousness, observation skills, and scientific curiosity are mandatory."
JOB_045,Influencer Marketing Intern,TrendCollab Agency,Marketing,Delhi NCR,3 months,"['Influencer Outreach', 'Campaign Tracking', 'Negotiation', 'Analytics']","₹12,000/month",12000,"Identify and onboard influencers, manage campaigns, track deliverables, measure ROI, and build long-term creator relationships.",We need social media natives with strong negotiation and relationship skills. Trend awareness and data interpretation ability are key.
JOB_046,Robotics Intern,AutoBotix India,Tech/Robotics,"Chennai, Tamil Nadu",6 months,"['ROS', 'Python', 'Arduino/Raspberry Pi', 'Sensors']","₹20,000/month",20000,"Design, assemble, and program robots for industrial automation and research projects. Test prototypes and document performance.","We seek tinkerers with hardware-software integration skills. Hands-on attitude, patience with debugging, and innovation drive are essential."
JOB_047,Architecture Intern,BuildVision Architects,Design/Architecture,Puducherry,6 months,"['AutoCAD', 'Revit', 'Lumion', 'Site Visits']","₹10,000/month",10000,"Work on concept design, prepare working drawings, create 3D renders, and join site visits for residential and commercial projects.","We look for creative architects with strong technical drawing skills. Site awareness, client interaction ability, and passion for built environment are valued."
JOB_048,Marketplace Operations Intern,BazaarKing E-commerce,Operations,"Jaipur, Rajasthan",4 months,"['Catalog Management', 'Seller Onboarding', 'Dispute Resolution', 'Excel']","₹12,000/month",12000,"Onboard new sellers, manage product listings, resolve disputes, monitor seller performance, and improve marketplace policies.","We need fair, communicative individuals who can balance seller and buyer interests. Quick decision-making and empathy are crucial."
JOB_049,AR/VR Development Intern,MetaVerse Labs,Tech,"Bengaluru, Karnataka",6 months,"['Unity', 'C#', 'Blender', 'Oculus/AR Foundation']","₹25,000/month",25000,"Build immersive AR/VR experiences for training, gaming, and marketing. Optimize for performance and deploy on headsets and mobile.","We seek spatial computing enthusiasts with 3D skills. Creativity, user empathy, and excitement about the metaverse are must-haves."
JOB_050,Corporate Strategy Intern,VisionCore Consulting,Strategy,"Mumbai, Maharashtra",3 months,"['Market Analysis', 'Financial Modeling', 'Presentation', 'Research']","₹30,000/month",30000,"Support strategy projects, conduct industry research, build business cases, create board presentations, and participate in client workshops.","We look for top-tier thinkers with structured problem-solving and storytelling skills. Professionalism, curiosity, and ability to synthesize information fast are essential."
JOB_051,Wildlife Conservation Intern,EcoGuard Foundation,Environment/NGO,"Ranthambore, Rajasthan",4 months,"['Field Work', 'Data Collection', 'GIS Basics', 'Report Writing']","₹8,000 + Accommodation",8000,"Assist in tiger monitoring, camera trapping, community outreach, anti-poaching patrols, and conservation data analysis.","We seek nature lovers ready for fieldwork in tough conditions. Physical fitness, teamwork, and commitment to conservation cause are mandatory."
JOB_052,Data Engineering Intern,DataFlow Systems,Data/Tech,"Hyderabad, Telangana",6 months,"['Python', 'Spark', 'Airflow', 'SQL', 'AWS/GCP']","₹25,000/month",25000,"Build and maintain ETL pipelines, optimize data lakes, automate workflows, and ensure data quality for analytics and ML teams.","We look for engineers who love big data and reliability. Strong coding, system thinking, and ownership of data infrastructure are essential."
JOB_053,Psychology Research Intern,MindSpace Research Institute,Research/Psychology,"Pune, Maharashtra",5 months,"['SPSS', 'Survey Design', 'Literature Review', 'Ethics']","₹10,000/month",10000,"Assist in designing experiments, collecting and analyzing psychological data, literature reviews, and preparing research papers.","We seek psychology students with scientific rigor and empathy. Attention to ethical standards, statistical knowledge, and curiosity are required."
JOB_054,Logistics Intern,SpeedFreight India,Operations,"Mundra, Gujarat",4 months,"['Route Optimization', 'Excel', 'Coordination', 'Tracking Systems']","₹12,000 + Accommodation",12000,"Optimize transport routes, track shipments in real-time, coordinate with drivers and warehouses, and reduce delivery costs.","We need alert, decisive individuals who thrive in high-pressure logistics environments. Geographical knowledge and stress handling are essential."
JOB_055,Music Production Intern,BeatBox Studio,Media/Music,Goa,5 months,"['Ableton/FL Studio', 'Mixing', 'Sound Design', 'MIDI']","₹10,000/month",10000,"Assist in recording, editing, mixing tracks, creating beats, and working with artists on commercial and independent music projects.","We seek music lovers with good ears and technical skills. Creativity, collaboration with artists, and passion for sound are crucial."
JOB_056,Policy Research Intern,IndiaThink Council,Research/Policy,New Delhi,4 months,"['Policy Analysis', 'Report Writing', 'Data Interpretation', 'Stakeholder Interviews']","₹15,000/month",15000,"Research public policy issues, draft policy briefs, analyze government data, and support roundtables on education, health, and economy.","We look for analytically sharp individuals with interest in governance. Excellent writing, objectivity, and intellectual honesty are essential."
JOB_057,Embedded Systems Intern,IoTWorks Technologies,Tech,"Coimbatore, Tamil Nadu",6 months,"['C/C++', 'Arduino/ESP32', 'PCB Basics', 'Sensors']","₹18,000/month",18000,"Develop firmware for IoT devices, design prototypes, test hardware-software integration, and deploy industrial solutions.","We seek hardware enthusiasts with strong C programming. Debugging patience, circuit understanding, and innovation mindset are required."
JOB_058,Travel Experience Intern,Wanderlust Journeys,Operations/Tourism,"Leh, Ladakh",4 months,"['Itinerary Planning', 'Customer Handling', 'Local Coordination', 'Crisis Management']","₹10,000 + Stay",10000,"Design tour packages, coordinate with local guides and hotels, handle on-ground operations, and ensure memorable guest experiences.","We need adventure-loving, resourceful individuals who can manage high-altitude challenges. Hospitality mindset and problem-solving in remote areas are key."
JOB_059,Quantitative Research Intern,AlphaQuant Capital,Finance/Quant,"Mumbai, Maharashtra",6 months,"['Python', 'Statistics', 'Time Series', 'Backtesting']","₹40,000/month",40000,"Develop trading strategies, backtest algorithms, analyze market data, and implement quantitative models for equity and derivatives.","We seek math and coding prodigies with strong probability knowledge. Intellectual rigor, attention to risk, and passion for markets are essential."
JOB_060,Social Impact Intern,ChangeMaker NGO,NGO/Social Work,"Dharamshala, Himachal Pradesh",5 months,"['Community Work', 'Fundraising', 'Documentation', 'Empathy']","₹8,000 + Accommodation",8000,"Work on education and women empowerment programs, conduct field visits, document impact stories, and support grant applications.","We seek compassionate, resilient individuals committed to social change. Cultural sensitivity, initiative, and grassroots mindset are crucial."
JOB_061,Flutter Development Intern,CrossApp Solutions,Tech,"Indore, Madhya Pradesh",6 months,"['Dart', 'Flutter', 'Firebase', 'State Management']","₹18,000/month",18000,"Build cross-platform mobile apps, implement beautiful UIs, integrate backend services, and deploy on both Play Store and App Store.","We look for mobile developers who value performance and design. Fast learning, clean architecture habits, and teamwork are essential."
JOB_062,Film Direction Intern,CineDream Productions,Media/Film,"Hyderabad, Telangana",5 months,"['Script Breakdown', 'Shot Listing', 'Assistant Directing', 'Continuity']","₹12,000/month",12000,"Assist directors on sets of Telugu/Hindi films and web series, manage continuity, coordinate with departments, and learn filmmaking workflows.","We seek cinema-passionate individuals ready for long shoots. Leadership, observation skills, and ability to handle pressure are required."
JOB_063,Startup Operations Intern,VentureBase Co.,Operations,"Bengaluru, Karnataka",4 months,"['Startup Hustle', 'Coordination', 'Metrics Tracking', 'Tool Stack']","₹15,000/month",15000,"Support multiple functions — HR, finance, marketing, and product — in a fast-growing startup. Own projects end-to-end and wear many hats.","We need all-rounders who thrive in chaos and take ownership. Resourcefulness, speed, and no-ego attitude are absolutely critical."
JOB_064,Culinary R&D Intern,FlavorLab Foods,F&B/Product,"Mumbai, Maharashtra",4 months,"['Recipe Development', 'Food Safety', 'Sensory Testing', 'Documentation']","₹12,000 + Meals",12000,"Develop new food products, test recipes at scale, conduct sensory panels, and ensure compliance with FSSAI standards.","We seek food-passionate individuals with palate and creativity. Hygiene consciousness, teamwork, and documentation discipline are essential."
JOB_065,E-commerce Operations Intern,ShopSwift Retail,Operations,Delhi NCR,5 months,"['Order Management', 'Inventory Sync', 'Customer Support', 'Analytics']","₹14,000/month",14000,"Manage orders across marketplaces, sync inventory, resolve customer issues, and optimize fulfillment processes for fashion and electronics.","We need detail-oriented, fast-thinking individuals who can handle high order volumes. Tech-savviness and customer empathy are key."
JOB_066,Radio Jockey Intern,PulseFM 93.5,Media/Radio,"Jaipur, Rajasthan",3 months,"['Voice Modulation', 'Scripting', 'Live Shows', 'Audience Engagement']","₹10,000/month",10000,"Host live shows, create engaging content, conduct celebrity interviews, run contests, and manage social media for the radio station.","We seek energetic, witty individuals with great voice and spontaneity. Confidence on air and connection with listeners are must-haves."
JOB_067,Renewable Energy Intern,SolarPeak Energy,Energy/Engineering,"Jodhpur, Rajasthan",5 months,"['Solar Design', 'AutoCAD', 'PVSyst', 'Site Assessment']","₹15,000/month",15000,"Design solar PV systems, conduct site surveys, prepare DPRs, and support project execution for rooftop and ground-mounted plants.","We look for engineers passionate about clean energy. Technical accuracy, field readiness, and sustainability commitment are essential."
JOB_068,Translation Intern,LinguaBridge Services,Content/Translation,"Kolkata, West Bengal",4 months,"['English-Hindi-Bengali', 'CAT Tools', 'Cultural Nuances', 'Proofreading']","₹10,000/month",10000,"Translate documents, subtitles, marketing content, and legal texts while maintaining tone, context, and cultural accuracy.","We seek bilingual individuals with exceptional language command and cultural sensitivity. Precision, consistency, and deadline adherence are crucial."
JOB_069,Fitness Product Intern,FitPulse HealthTech,Product/Health,"Pune, Maharashtra",6 months,"['User Research', 'Fitness Knowledge', 'Prototyping', 'Data Analysis']","₹18,000/month",18000,"Help design features for fitness app and wearables, conduct user interviews with athletes, analyze workout data, and run beta tests.","We need fitness enthusiasts who understand training science. User empathy, data curiosity, and personal discipline are highly valued."
JOB_070,Agricultural Tech Intern,AgriSmart Solutions,AgriTech,"Nashik, Maharashtra",5 months,"['IoT', 'Data Analysis', 'Farmer Interaction', 'Sensors']","₹12,000 + Stay",12000,"Deploy soil and weather sensors, collect farm data, train farmers on app usage, and improve precision agriculture solutions.","We seek rural-savvy individuals comfortable with fieldwork and farmers. Technical aptitude, patience, and agricultural interest are essential."
JOB_071,Podcast Production Intern,AudioWave Network,Media/Content,"Bengaluru, Karnataka",4 months,"['Audio Editing', 'Guest Booking', 'Scripting', 'Distribution']","₹12,000/month",12000,"Edit episodes, book high-profile guests, write show notes, create audiograms, and grow podcast audience across platforms.","We look for audio enthusiasts with storytelling sense. Networking skills, attention to sound quality, and hustle are crucial."
JOB_072,Real Estate Research Intern,PropertyPulse Analytics,Real Estate,"Gurugram, Haryana",4 months,"['Market Research', 'Excel', 'Report Writing', 'RERA Knowledge']","₹15,000/month",15000,"Analyze property trends, track price movements, prepare investment reports, and support due diligence for residential and commercial projects.","We seek analytical minds with interest in real estate dynamics. Accuracy, research rigor, and presentation skills are essential."
